ox_code,wga,speciesID,species_gr,include,sp_id_color
VBS00001,FALSE,An. annularis,Annularis group,TRUE,rebeccapurple
VBS00002,FALSE,An. annularis,Annularis group,TRUE,rebeccapurple
VBS00003,FALSE,An. annularis,Annularis group,TRUE,rebeccapurple
VBS00004,FALSE,An. annularis,Annularis group,TRUE,rebeccapurple
VBS00005,FALSE,An. annularis,Annularis group,FALSE,rebeccapurple
VBS00006,FALSE,An. nivipes,Annularis group,TRUE,slateblue
VBS00008,FALSE,An. nivipes,Annularis group,TRUE,slateblue
VBS00009,FALSE,An. nivipes,Annularis group,TRUE,slateblue
VBS00010,FALSE,An. nivipes,Annularis group,TRUE,slateblue
VBS00011,FALSE,An. pallidus,Annularis group,TRUE,darkblue
VBS00012,FALSE,An. pallidus,Annularis group,TRUE,darkblue
VBS00013,FALSE,An. pallidus,Annularis group,TRUE,darkblue
VBS00014,FALSE,An. pallidus,Annularis group,TRUE,darkblue
VBS00015,FALSE,An. pallidus,Annularis group,TRUE,darkblue
VBS00017,FALSE,An. philippinensis ,Annularis group,TRUE,darkslategrey
VBS00018,FALSE,An. philippinensis ,Annularis group,FALSE,darkslategrey
VBS00019,TRUE,An. philippinensis ,Annularis group,FALSE,darkslategrey
VBS00020,FALSE,An. philippinensis ,Annularis group,TRUE,darkslategrey
VBS00021,FALSE,An. barbirostris,Barbirostris group,TRUE,g
VBS00022,FALSE,An. barbirostris,Barbirostris group,TRUE,g
VBS00023,FALSE,An. barbirostris,Barbirostris group,TRUE,g
VBS00024,FALSE,An. barbirostris,Barbirostris group,TRUE,g
VBS00025,FALSE,An. barbirostris,Barbirostris group,TRUE,g
VBS00026,FALSE,An. barbirostris (clade III),Barbirostris group,TRUE,g
VBS00029,FALSE,An. barbirostris (clade III),Barbirostris group,TRUE,g
VBS00030,FALSE,An. barbirostris (clade III),Barbirostris group,TRUE,g
VBS00031,FALSE,An. campestris ,Barbirostris group,TRUE,lightgreen
VBS00032,FALSE,An. campestris ,Barbirostris group,TRUE,lightgreen
VBS00033,FALSE,An. campestris ,Barbirostris group,TRUE,lightgreen
VBS00034,FALSE,An. campestris ,Barbirostris group,TRUE,lightgreen
VBS00035,FALSE,An. campestris ,Barbirostris group,TRUE,lightgreen
