ox_code,speciesID,species_gr,sp_id_color,sp_gr_color
VBS00001,An. annularis,Annularis group,rebeccapurple,#860097
VBS00002,An. annularis,Annularis group,rebeccapurple,#860097
VBS00003,An. annularis,Annularis group,rebeccapurple,#860097
VBS00004,An. annularis,Annularis group,rebeccapurple,#860097
VBS00005,An. annularis,Annularis group,rebeccapurple,#860097
VBS00006,An. nivipes,Annularis group,slateblue,#860097
VBS00008,An. nivipes,Annularis group,slateblue,#860097
VBS00009,An. nivipes,Annularis group,slateblue,#860097
VBS00010,An. nivipes,Annularis group,slateblue,#860097
VBS00011,An. pallidus,Annularis group,darkblue,#860097
VBS00012,An. pallidus,Annularis group,darkblue,#860097
VBS00013,An. pallidus,Annularis group,darkblue,#860097
VBS00014,An. pallidus,Annularis group,darkblue,#860097
VBS00015,An. pallidus,Annularis group,darkblue,#860097
VBS00017,An. philippinensis ,Annularis group,darkslategrey,#860097
VBS00018,An. philippinensis ,Annularis group,darkslategrey,#860097
VBS00019,An. philippinensis ,Annularis group,darkslategrey,#860097
VBS00020,An. philippinensis ,Annularis group,darkslategrey,#860097
VBS00021,An. barbirostris,Barbirostris group,g,#3800a3
VBS00022,An. barbirostris,Barbirostris group,g,#3800a3
VBS00023,An. barbirostris,Barbirostris group,g,#3800a3
VBS00024,An. barbirostris,Barbirostris group,g,#3800a3
VBS00025,An. barbirostris,Barbirostris group,g,#3800a3
VBS00026,An. barbirostris (clade III),Barbirostris group,g,#3800a3
VBS00029,An. barbirostris (clade III),Barbirostris group,g,#3800a3
VBS00030,An. barbirostris (clade III),Barbirostris group,g,#3800a3
VBS00031,An. campestris ,Barbirostris group,lightgreen,#3800a3
VBS00032,An. campestris ,Barbirostris group,lightgreen,#3800a3
VBS00033,An. campestris ,Barbirostris group,lightgreen,#3800a3
VBS00034,An. campestris ,Barbirostris group,lightgreen,#3800a3
VBS00035,An. campestris ,Barbirostris group,lightgreen,#3800a3
VBS00036,An. dissidens,Barbirostris group,lawngreen,#3800a3
VBS00037,An. dissidens,Barbirostris group,lawngreen,#3800a3
VBS00038,An. saeungae (clade IV),Barbirostris group,gold,#3800a3
VBS00039,An. saeungae (clade IV),Barbirostris group,gold,#3800a3
VBS00040,An. saeungae (clade IV),Barbirostris group,gold,#3800a3
VBS00041,An. saeungae (clade IV),Barbirostris group,gold,#3800a3
VBS00042,An. saeungae (clade IV),Barbirostris group,gold,#3800a3
VBS00043,An. wejchoochotei,Barbirostris group,orange,#3800a3
VBS00044,An. wejchoochotei,Barbirostris group,orange,#3800a3
VBS00045,An. wejchoochotei,Barbirostris group,orange,#3800a3
VBS00046,An. wejchoochotei,Barbirostris group,orange,#3800a3
VBS00047,An. wejchoochotei,Barbirostris group,orange,#3800a3
VBS00048,An. dirus A,Leucosphyrus group,darkorange,#0038dd
VBS00049,An. dirus A,Leucosphyrus group,darkorange,#0038dd
VBS00050,An. dirus A,Leucosphyrus group,darkorange,#0038dd
VBS00051,An. dirus A,Leucosphyrus group,darkorange,#0038dd
VBS00052,An. dirus A,Leucosphyrus group,darkorange,#0038dd
VBS00053,An. aconitus,Funestus group,lightcoral,#0092dd
VBS00055,An. aconitus,Funestus group,lightcoral,#0092dd
VBS00059,An. minimus A,Funestus group,k,#0092dd
VBS00061,An. minimus A,Funestus group,k,#0092dd
VBS00063,An. jeyporiensis ,Funestus group,darkred,#0092dd
VBS00064,An. jeyporiensis ,Funestus group,darkred,#0092dd
VBS00065,An. jeyporiensis ,Funestus group,darkred,#0092dd
VBS00066,An. jeyporiensis ,Funestus group,darkred,#0092dd
VBS00068,An. pampanai ,Funestus group,k,#0092dd
VBS00069,An. pampanai ,Funestus group,k,#0092dd
VBS00071,An. pampanai ,Funestus group,k,#0092dd
VBS00072,An. argyropus,Hyrcanus group,grey,#009a00
VBS00074,An. argyropus,Hyrcanus group,grey,#009a00
VBS00075,An. argyropus,Hyrcanus group,grey,#009a00
VBS00076,An. argyropus,Hyrcanus group,grey,#009a00
VBS00078,An. crawfordi ,Hyrcanus group,b,#009a00
VBS00079,An. crawfordi ,Hyrcanus group,b,#009a00
VBS00081,An. crawfordi ,Hyrcanus group,b,#009a00
VBS00082,An. hyrcanus ,Hyrcanus group,indigo,#009a00
VBS00083,An. hyrcanus ,Hyrcanus group,indigo,#009a00
VBS00084,An. hyrcanus ,Hyrcanus group,indigo,#009a00
VBS00085,An. hyrcanus ,Hyrcanus group,indigo,#009a00
VBS00086,An. hyrcanus ,Hyrcanus group,indigo,#009a00
VBS00087,An. peditaeniatus ,Hyrcanus group,purple,#009a00
VBS00088,An. peditaeniatus ,Hyrcanus group,purple,#009a00
VBS00089,An. peditaeniatus ,Hyrcanus group,purple,#009a00
VBS00090,An. peditaeniatus ,Hyrcanus group,purple,#009a00
VBS00091,An. peditaeniatus ,Hyrcanus group,purple,#009a00
VBS00093,An. nigerrimus,Hyrcanus group,mediumorchid,#009a00
VBS00094,An. nigerrimus,Hyrcanus group,mediumorchid,#009a00
VBS00095,An. nigerrimus,Hyrcanus group,mediumorchid,#009a00
VBS00096,An. nigerrimus,Hyrcanus group,mediumorchid,#009a00
VBS00097,An. nitidus ,Hyrcanus group,plum,#009a00
VBS00098,An. nitidus ,Hyrcanus group,plum,#009a00
VBS00099,An. nitidus ,Hyrcanus group,plum,#009a00
VBS00100,An. nitidus ,Hyrcanus group,plum,#009a00
VBS00101,An. nitidus ,Hyrcanus group,plum,#009a00
VBS00102,An. kochi,Kochi group,violet,yellow
VBS00103,An. kochi,Kochi group,violet,yellow
VBS00104,An. kochi,Kochi group,violet,yellow
VBS00106,An. kochi,Kochi group,violet,yellow
VBS00107,An. sawadwongporni (maculatus A),Maculatus group,mediumvioletred,#00c700
VBS00108,An. sawadwongporni (maculatus A),Maculatus group,mediumvioletred,#00c700
VBS00110,An. sawadwongporni (maculatus A),Maculatus group,mediumvioletred,#00c700
VBS00112,An. rampae (maculatus K),Maculatus group,crimson,#00c700
VBS00113,An. rampae (maculatus K),Maculatus group,crimson,#00c700
VBS00114,An. rampae (maculatus K),Maculatus group,crimson,#00c700
VBS00115,An. rampae (maculatus K),Maculatus group,crimson,#00c700
VBS00117,An. karwari,An. karwari (Neocellia series),red,#b0ff00
VBS00118,An. karwari,An. karwari (Neocellia series),red,#b0ff00
VBS00121,An. karwari,An. karwari (Neocellia series),red,#b0ff00
VBS00122,An. balabacensis,Leucosphyrus group,orangered,#0038dd
VBS00123,An. balabacensis,Leucosphyrus group,orangered,#0038dd
VBS00124,An. jamesii,Jamesii group,gold,#fcd200
VBS00125,An. jamesii,Jamesii group,gold,#fcd200
VBS00127,An. jamesii,Jamesii group,gold,#fcd200
VBS00128,An. jamesii,Jamesii group,gold,#fcd200
VBS00130,An. sinensis ,Hyrcanus group,lime,#009a00
VBS00132,An. sinensis ,Hyrcanus group,lime,#009a00
VBS00133,An. sinensis ,Hyrcanus group,lime,#009a00
VBS00134,An. splendidus ,Jamesii group,limegreen,#fcd200
VBS00135,An. splendidus ,Jamesii group,limegreen,#fcd200
VBS00136,An. splendidus ,Jamesii group,limegreen,#fcd200
VBS00137,An. splendidus ,Jamesii group,limegreen,#fcd200
VBS00138,An. splendidus ,Jamesii group,limegreen,#fcd200
